REGION,STATE,COUNTY,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
3,WEST VIRGINIA,Ohio County,42425,42264,41776,-161,-488,77,358,174,708,-97,-350,0,5,-61,-150,-61,-145,8.519752499,16.84911947,-8.329366968,0.118990957,-3.569728701,-3.450737744
3,WEST VIRGINIA,Pendleton County,6143,6134,6142,-9,8,19,82,25,101,-6,-19,0,0,-3,27,-3,27,13.35940046,16.45487129,-3.095470837,0,4.39882698,4.39882698
3,WEST VIRGINIA,Pleasants County,7653,7649,7601,-4,-48,18,70,31,110,-13,-40,0,0,10,-9,10,-9,9.180327869,14.42622951,-5.245901639,0,-1.180327869,-1.180327869
3,WEST VIRGINIA,Pocahontas County,7869,7847,7841,-22,-6,19,65,36,140,-17,-75,0,0,-3,69,-3,69,8.286588475,17.84803672,-9.561448241,0,8.796532381,8.796532381
3,WEST VIRGINIA,Preston County,34216,34176,34358,-40,182,100,345,124,414,-24,-69,1,1,-14,246,-13,247,10.06799545,12.08159454,-2.01359909,0.029182596,7.178918493,7.208101089
3,WEST VIRGINIA,Putnam County,57440,57399,57260,-41,-139,122,532,176,761,-54,-229,0,4,16,82,16,86,9.279690212,13.27414333,-3.994453118,0.069772107,1.430328191,1.500100297
3,WEST VIRGINIA,Raleigh County,74591,74349,73771,-242,-578,194,716,324,1270,-130,-554,1,11,-108,-46,-107,-35,9.667836889,17.14825817,-7.48042128,0.14852822,-0.621118012,-0.472589792
3,WEST VIRGINIA,Randolph County,27932,27852,27806,-80,-46,62,291,104,473,-42,-182,0,6,-34,126,-34,132,10.45671781,16.99665816,-6.53994035,0.215602429,4.527651012,4.743253441
3,WEST VIRGINIA,Ritchie County,8444,8424,8383,-20,-41,25,83,31,151,-6,-68,0,4,-13,23,-13,27,9.876837032,17.96870352,-8.091866484,0.475992146,2.73695484,3.212946986
3,WEST VIRGINIA,Roane County,14028,13977,13898,-51,-79,31,144,56,222,-25,-78,0,5,-24,-7,-24,-2,10.33183857,15.92825112,-5.596412556,0.358744395,-0.502242152,-0.143497758
