UID,code3,FIPS,Admin2,Province_State,3/31/21
84013129,840,13129,Gordon,Georgia,7906
84013131,840,13131,Grady,Georgia,2052
84013133,840,13133,Greene,Georgia,1772
84013135,840,13135,Gwinnett,Georgia,96854
84013137,840,13137,Habersham,Georgia,4974
84013139,840,13139,Hall,Georgia,26334
84013141,840,13141,Hancock,Georgia,897
84013143,840,13143,Haralson,Georgia,2533
84013145,840,13145,Harris,Georgia,2470
84013147,840,13147,Hart,Georgia,2313
84013149,840,13149,Heard,Georgia,831
84013151,840,13151,Henry,Georgia,23667
84013153,840,13153,Houston,Georgia,14020
84013155,840,13155,Irwin,Georgia,895
84013157,840,13157,Jackson,Georgia,9522
84013159,840,13159,Jasper,Georgia,1367
84013161,840,13161,Jeff Davis,Georgia,1833
84013163,840,13163,Jefferson,Georgia,1894
84013165,840,13165,Jenkins,Georgia,836
84013167,840,13167,Johnson,Georgia,1098
84013169,840,13169,Jones,Georgia,1952
84013171,840,13171,Lamar,Georgia,1953
84013173,840,13173,Lanier,Georgia,758
84013175,840,13175,Laurens,Georgia,5431
84013177,840,13177,Lee,Georgia,2663
84013179,840,13179,Liberty,Georgia,3618
84013181,840,13181,Lincoln,Georgia,779
84013183,840,13183,Long,Georgia,812
84013185,840,13185,Lowndes,Georgia,12202
84013187,840,13187,Lumpkin,Georgia,2846
84013193,840,13193,Macon,Georgia,832
84013195,840,13195,Madison,Georgia,3147
84013197,840,13197,Marion,Georgia,543
84013189,840,13189,McDuffie,Georgia,2375
84013191,840,13191,McIntosh,Georgia,814
84013199,840,13199,Meriwether,Georgia,1913
84013201,840,13201,Miller,Georgia,827
84013205,840,13205,Mitchell,Georgia,2004
84013207,840,13207,Monroe,Georgia,2544
84013209,840,13209,Montgomery,Georgia,864
84013211,840,13211,Morgan,Georgia,2045
84013213,840,13213,Murray,Georgia,4671
84013215,840,13215,Muscogee,Georgia,15443
84013217,840,13217,Newton,Georgia,10351
84013219,840,13219,Oconee,Georgia,3879
84013221,840,13221,Oglethorpe,Georgia,1440
