FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE,3/31/21,BEDS,dem_pct
37045,96645,29.13,41.25,29.62,219,403.0,8.261382240586263
37047,52911,23.35,46.2,30.46,149,154.0,8.92951675111548
37049,101148,30.31,44.67,25.02,119,350.0,9.9632526147178
37051,332739,32.76,46.12,21.12,292,931.0,14.350832483860009
37053,27725,36.64,45.27,18.09,15,0.0,6.495014553787081
37055,36953,30.88,49.7,19.42,8,21.0,10.250907890392869
37057,167060,36.9,39.68,23.42,178,243.0,6.393338906839596
37059,42804,32.63,47.11,20.25,36,131.0,6.630516376279089
37061,58741,23.41,43.8,32.79,128,101.0,9.648910411622277
37063,309914,37.88,41.24,20.88,214,1481.0,20.10516135486955
37065,51121,24.17,43.18,32.66,102,117.0,15.787769360599755
37067,373654,36.09,42.18,21.73,361,1913.0,14.039971182988026
37069,68635,33.81,44.15,22.04,47,83.0,10.628229498540868
37071,223092,36.81,43.11,20.08,401,435.0,8.865737934856014
37073,11562,35.77,36.17,28.06,12,0.0,10.6598559705242
37075,8435,26.35,44.52,29.13,12,0.0,4.84994640943194
37077,57606,31.13,39.55,29.32,79,142.0,11.523672384328124
37079,18594,22.78,43.77,33.45,42,0.0,10.944818919227693
37081,521372,33.67,43.36,22.97,617,1619.0,15.210414572246089
37083,48967,22.64,42.68,34.68,104,206.0,15.086959897511548
37085,133284,31.36,45.2,23.43,163,151.0,9.474979843205872
37087,62287,32.61,43.07,24.32,91,190.0,8.992392315691532
37089,117237,31.83,44.32,23.85,153,325.0,9.949759400915594
37091,21293,26.88,42.94,30.18,63,114.0,16.684690615008464
37093,54501,35.21,38.94,25.86,55,49.0,13.637413928554922
37095,4519,21.75,42.29,35.96,8,0.0,10.493579454253611
37097,181427,39.45,42.84,17.71,203,700.0,8.275781227105332
37099,39919,26.79,42.7,30.5,55,86.0,11.189798394623857
37101,208510,35.76,42.01,22.24,203,199.0,9.262327469310415
