FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE
17113,162127,40.8,39.48,19.72
17115,101850,39.0,36.51,24.49
17117,44569,34.95,43.43,21.62
17119,261608,41.94,39.63,18.44
17121,37056,36.48,37.89,25.63
17123,11431,41.73,36.67,21.6
17125,13319,34.83,44.46,20.71
17127,13772,34.69,41.85,23.46
17129,12181,41.38,40.37,18.24
17131,15397,42.96,37.4,19.64
17133,34637,48.12,37.46,14.42
17135,26462,30.49,43.72,25.8
17137,31306,34.53,41.58,23.89
17139,14471,36.45,40.5,23.05
17141,50527,40.58,40.44,18.98
17143,176516,35.83,41.79,22.38
17145,18622,34.68,44.0,21.32
17147,16344,41.89,39.48,18.63
17149,15276,34.73,41.55,23.72
17151,4121,25.16,42.73,32.1
17153,5329,22.33,38.37,39.29
17155,5737,35.82,43.0,21.18
17157,28220,37.57,37.53,24.9
17159,15484,32.49,44.43,23.08
17161,138629,34.55,41.96,23.49
17163,258338,38.29,41.27,20.44
17165,23131,36.65,40.53,22.83
17167,193018,37.39,40.55,22.06
17169,6758,36.09,39.83,24.08
17171,4951,36.5,45.67,17.83
17173,21626,40.63,38.9,20.47
17175,5340,32.64,44.85,22.51
17177,44353,37.73,38.12,24.14
17179,130422,43.69,37.74,18.57
17181,16653,28.92,43.91,27.17
17183,73672,31.8,43.77,24.43
17185,11520,37.3,37.01,25.69
17187,15991,35.94,43.05,21.01
17189,13832,40.41,38.37,21.23
17191,16213,31.88,40.66,27.46
17193,13440,32.14,42.47,25.39
17195,55018,35.84,40.93,23.23
17197,684787,44.48,39.67,15.84
17199,65254,37.09,40.97,21.94
17201,281089,35.92,41.99,22.09
17203,38062,41.81,39.46,18.72
18001,35684,34.87,34.45,30.68
18003,376714,40.98,39.87,19.14
18005,83520,42.58,37.06,20.36
18007,8727,34.65,44.31,21.04
18009,11666,33.46,35.67,30.87
18011,67666,50.61,33.0,16.39
18013,15087,28.07,50.91,21.02
18015,20218,38.94,38.85,22.21
18017,37348,37.0,37.07,25.93
18019,117859,39.18,42.38,18.44
18021,26131,36.91,40.47,22.62
18023,32219,32.17,43.7,24.13
18025,10577,28.52,36.77,34.71
18027,33160,30.52,36.85,32.63
18029,49210,43.73,36.83,19.44
18031,26501,35.57,46.96,17.47
18033,43399,42.74,38.94,18.32
18035,107050,34.98,42.05,22.97
18037,42576,40.8,43.23,15.98
18039,204659,37.2,41.92,20.89
18041,23053,33.41,39.54,27.05
18043,78062,42.25,37.96,19.79
18045,16325,34.71,42.63,22.66
18047,22758,40.48,42.06,17.46
18049,19903,35.39,40.12,24.49
18051,33287,36.09,46.23,17.69
18053,61804,34.27,42.3,23.43
18055,31815,32.45,43.47,24.08
18057,337641,55.22,33.93,10.85
18059,78000,50.72,35.45,13.83
18061,40342,36.27,44.88,18.85
18063,167137,48.47,38.68,12.85
18065,44837,35.74,40.35,23.92
18067,82135,36.25,42.9,20.86
18069,35646,41.69,41.45,16.87
18071,44058,40.61,39.08,20.31
18073,32801,36.85,43.87,19.28
18075,20374,34.0,42.69,23.31
18077,30673,34.25,41.86,23.88
18079,27598,39.13,40.29,20.58
18081,156945,45.36,40.07,14.57
18083,35109,36.45,41.03,22.52
18085,78471,40.73,38.26,21.01
18087,39477,24.57,35.41,40.02
18089,482392,33.86,42.9,23.24
18091,104229,36.51,41.45,22.04
18093,45213,37.29,42.25,20.46
18095,124446,37.25,40.0,22.75
18097,953401,36.53,40.3,23.16
18099,46124,36.69,38.79,24.52
18101,10214,44.89,38.85,16.26
18103,32382,36.55,43.65,19.79
18105,134378,38.43,42.85,18.72
18107,37482,32.94,43.35,23.71
18109,70256,41.3,40.49,18.21
18111,13944,36.56,42.26,21.18
18113,47422,37.27,41.97,20.77
18115,5875,37.89,38.33,23.78
18117,19567,31.74,43.94,24.33
18119,20737,31.21,42.41,26.37
18121,15618,32.33,33.99,33.68
18123,17767,36.28,43.03,20.68
18125,12316,38.79,40.9,20.32
18127,168047,43.21,39.27,17.52
18129,25373,42.99,37.38,19.63
18131,12236,39.37,40.88,19.75
